CID,DATE,CAR NAME,OWNERSHIP,OFFER,PRICE,TYPE,YEAR,MODE,HP,DISCOUNT,MILEAGE,FUEL,STATUS,DUPLICATE,IGNORE
1,03-04-2016 11:54,Subaru_G3X_Justy_1.3,private,offer,3850,Small Car,2004,manual,94,50000,7,petrol,No,03-04-2016 00:00,0
2,08-03-2016 19:54,Volkswagen_Passat_Variant_2.0_TDI_DPF_Comfortline,private,offer,5999,Combi,2007,manual,140,150000,5,diesel,No,08-03-2016 00:00,0
3,26-03-2016 17:38,Mercedes_Benz_C_220_CDI_Automatik_Elegance_AHK__Navi_Leder,private,offer,5990,limousine,2007,automatic,150,150000,2,diesel,No,26-03-2016 00:00,0
4,11-03-2016 13:42,Alfa_Romeo_147_1.9_JTD_16V_M_Jet,private,offer,4000,limousine,2005,manual,150,150000,9,diesel,No,11-03-2016 00:00,0
5,17-03-2016 17:49,Audi_A4,private,offer,12950,Combi,2005,manual,200,125000,3,petrol,No,17-03-2016 00:00,0
6,02-04-2016 17:42,mercedes_c_kalse,private,offer,3600,limousine,2000,automatic,129,150000,5,petrol,No,02-04-2016 00:00,0
7,15-03-2016 13:53,Passat_3bg_Variant_1_9TDI__6_Gang,private,offer,4450,Combi,2003,manual,131,150000,7,diesel,No,15-03-2016 00:00,0
8,11-03-2016 10:51,Gepflegtes_Familienauto,private,offer,10500,bus,2010,manual,146,80000,8,petrol,No,11-03-2016 00:00,0
9,25-03-2016 00:56,BMW_645_Ci_M_PAKET_LEDER_NAVI_XENON_SPORTAUSPUFF,private,offer,10900,coupe,2004,automatic,333,150000,12,petrol,No,24-03-2016 00:00,0
10,29-03-2016 09:36,Audi_A3_1.4_TFSI,private,offer,17250,limousine,2013,manual,122,30000,10,petrol,No,29-03-2016 00:00,0
11,05-03-2016 16:52,Land_Rover_Range_Rover_TDV8,private,offer,25900,suv,2010,automatic,272,150000,1,diesel,No,05-03-2016 00:00,0
12,10-03-2016 16:50,Mercedes_Benz_E_200_CDI_Classic,private,offer,9500,limousine,2000,manual,116,150000,6,diesel,Yes,10-03-2016 00:00,0
13,21-03-2016 10:37,Sehr_gut_erhaltener_Audi_A4,private,offer,8500,limousine,2006,automatic,163,100000,0,petrol,No,21-03-2016 00:00,0
14,01-04-2016 12:45,Audi_A4_Avant_2.5_TDI_quattro_Xenon_Klimaaut._Sitzhzg,private,offer,2690,Combi,2002,manual,179,150000,5,diesel,NA,01-04-2016 00:00,0
